"Marked order as fraud","Marked order as fraud"
"Marked order as NOT fraud","Marked order as NOT fraud"
"Set Fraud Flag","Set Fraud Flag"
"Remove Fraud Flag","Remove Fraud Flag"
"Fraud","Fraud"
"Mark Fraud","Mark Fraud"
"Unmark Fraud","Unmark Fraud"
"Mark Order #%s as Fraud","Mark Order #%s as Fraud"
"Mark Order #%s as NOT Fraud","Mark Order #%s as NOT Fraud"
"AOE Fraud Manager","AOE Fraud Manager"
"Fraud Flag","Fraud Flag"
"Active","Active"
"Require a comment when setting/removing the flag","Require a comment when setting/removing the flag"
"Blacklist Rules","Blacklist Rules"
"Hold Rules","Hold Rules"
